,Unnamed: 0.1,Unnamed: 0,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,0,0,1,0,3,"Braund, Mr. Owen Harris",0,-0.5657364610748746,0.4327933656785018,-0.4736736092984604,A/5 21171,-0.5024451714361923,,S
1,1,1,2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,0.6638610320657843,0.4327933656785018,-0.4736736092984604,PC 17599,0.7868452935884461,C85,C
2,2,2,3,1,3,"Heikkinen, Miss. Laina",1,-0.2583370877897099,-0.47454519624983954,-0.4736736092984604,STON/O2. 3101282,-0.4888542575852486,,S
3,3,3,4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,0.4333115021019107,0.4327933656785018,-0.4736736092984604,113803,0.4207302360686478,C123,S
4,4,4,5,0,3,"Allen, Mr. William Henry",0,0.4333115021019107,-0.47454519624983954,-0.4736736092984604,373450,-0.4863374216869257,,S
5,5,5,6,0,3,"Moran, Mr. James",0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,330877,-0.47811642890864375,,Q
6,6,6,7,0,1,"McCarthy, Mr. Timothy J",0,1.893458525206443,-0.47454519624983954,-0.4736736092984604,17463,0.395813560675251,E46,S
7,7,7,8,0,3,"Palsson, Master. Gosta Leonard",0,-2.1027333275006983,2.2474704895351842,0.7676298785983874,349909,-0.22408312108167944,,S
8,8,8,9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",1,-0.1814872444684187,-0.47454519624983954,2.0089333664952354,347742,-0.4242561406845337,,S
9,9,9,10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",1,-1.180535207645204,0.4327933656785018,-0.4736736092984604,237736,-0.04295550208861426,,C
10,10,10,11,1,3,"Sandstrom, Miss. Marguerite Rut",1,-1.949033640858116,0.4327933656785018,0.7676298785983874,PP 9549,-0.312172377522981,G6,S
11,11,11,12,1,1,"Bonnell, Miss. Elizabeth",1,2.200857898491608,-0.47454519624983954,-0.4736736092984604,113783,-0.11384570873513637,C103,S
12,12,12,13,0,3,"Saundercock, Mr. William Henry",0,-0.719436147717457,-0.47454519624983954,-0.4736736092984604,A/5. 2151,-0.4863374216869257,,S
13,13,13,14,0,3,"Andersson, Mr. Anders Johan",0,0.7407108753870755,0.4327933656785018,5.73284383018578,347082,-0.01870931177853076,,S
14,14,14,15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",1,-1.180535207645204,-0.47454519624983954,-0.4736736092984604,350406,-0.4902797934380587,,S
15,15,15,16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",1,1.9703083685277343,-0.47454519624983954,-0.4736736092984604,248706,-0.3262666585535892,,S
16,16,16,17,0,3,"Rice, Master. Eugene",0,-2.1027333275006983,3.1548090514635256,0.7676298785983874,382652,-0.06199888922968463,,Q
17,17,17,18,1,2,"Williams, Mr. Charles Eugene",0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,244373,-0.3866707201133388,,S
18,18,18,19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",1,0.12591212881674602,0.4327933656785018,-0.4736736092984604,345763,-0.2859972841804228,,S
19,19,19,20,1,3,"Masselmani, Mrs. Fatima",1,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,2649,-0.5029485386158568,,C
20,20,20,21,0,2,"Fynney, Mr. Joseph J",0,0.4333115021019107,-0.47454519624983954,-0.4736736092984604,239865,-0.12491978668775715,,S
21,21,21,22,1,2,"Beesley, Mr. Lawrence",0,0.35646165878061953,-0.47454519624983954,-0.4736736092984604,248698,-0.3866707201133388,D56,S
22,22,22,23,1,3,"McGowan, Miss. Anna ""Annie""",1,-1.1036853643239128,-0.47454519624983954,-0.4736736092984604,330923,-0.4867562231804066,,Q
23,23,23,24,1,1,"Sloper, Mr. William Thompson",0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,113788,0.06635974158478332,A6,S
24,24,24,25,0,3,"Palsson, Miss. Torborg Danira",1,-1.6416342675729512,2.2474704895351842,0.7676298785983874,349909,-0.22408312108167944,,S
25,25,25,26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1,0.6638610320657843,0.4327933656785018,5.73284383018578,347077,-0.016444159470040135,,S
26,26,26,27,0,3,"Emir, Mr. Farred Chehab",0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,2631,-0.5029485386158568,,C
27,27,27,28,0,1,"Fortune, Mr. Charles Alexander",0,-0.7962859910387481,2.2474704895351842,2.0089333664952354,19950,4.647001076532463,C23 C25 C27,S
28,28,28,29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",1,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,330959,-0.48977642625839407,,Q
29,29,29,30,0,3,"Todoroff, Mr. Lalio",0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,349216,-0.4894421904510968,,S
30,30,30,31,0,1,"Uruchurtu, Don. Manuel E",0,0.8175607187083667,-0.47454519624983954,-0.4736736092984604,PC 17601,-0.09027201697708476,,C
31,31,31,32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",1,-0.10463740114712752,0.4327933656785018,-0.4736736092984604,PC 17569,2.301728820789,B78,C
32,32,32,33,1,3,"Glynn, Miss. Mary Agatha",1,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,335677,-0.49237782784290063,,Q
33,33,33,34,0,2,"Wheadon, Mr. Edward H",0,2.8156566450619374,-0.47454519624983954,-0.4736736092984604,C.A. 24579,-0.43700743807979686,,S
34,34,34,35,0,1,"Meyer, Mr. Edgar Joseph",0,-0.10463740114712752,0.4327933656785018,-0.4736736092984604,PC 17604,1.0060617003323709,,C
35,35,35,36,0,1,"Holverson, Mr. Alexander Oskar",0,0.9712604053509489,0.4327933656785018,-0.4736736092984604,113789,0.39858208016340624,,S
36,36,36,37,1,3,"Mamee, Mr. Hanna",0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,2677,-0.5028639729296732,,C
37,37,37,38,0,3,"Cann, Mr. Ernest Charles",0,-0.6425863043961658,-0.47454519624983954,-0.4736736092984604,A./5. 2152,-0.4863374216869257,,S
38,38,38,39,0,3,"Vander Planke, Miss. Augusta Maria",1,-0.8731358343600393,1.340131927606843,-0.4736736092984604,345764,-0.2859972841804228,,S
39,39,39,40,1,3,"Nicola-Yarred, Miss. Jamila",1,-1.180535207645204,0.4327933656785018,-0.4736736092984604,2651,-0.42207354059350805,,C
40,40,40,41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",1,0.8175607187083667,0.4327933656785018,-0.4736736092984604,7546,-0.4576454924460446,,S
41,41,41,42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",1,-0.1814872444684187,0.4327933656785018,-0.4736736092984604,11668,-0.22559322262067316,,S
42,42,42,43,0,3,"Kraeff, Mr. Theodor",0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,349253,-0.4894421904510968,,C
43,43,43,44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",1,-2.025883484179407,0.4327933656785018,2.0089333664952354,SC/Paris 2123,0.18876253192945994,,C
44,44,44,45,1,3,"Devaney, Miss. Margaret Delia",1,-0.7962859910387481,-0.47454519624983954,-0.4736736092984604,330958,-0.48977642625839407,,Q
45,45,45,46,0,3,"Rogers, Mr. William John",0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,S.C./A.4. 23567,-0.4863374216869257,,S
46,46,46,47,0,3,"Lennon, Mr. Denis",0,-0.10463740114712752,0.4327933656785018,-0.4736736092984604,370371,-0.3363340021468808,,Q
47,47,47,48,1,3,"O'Driscoll, Miss. Bridget",1,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,14311,-0.49237782784290063,,Q
48,48,48,49,0,3,"Samaan, Mr. Youssef",0,-0.10463740114712752,1.340131927606843,-0.4736736092984604,2662,-0.21191774308354583,,C
49,49,49,50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",1,-0.8731358343600393,0.4327933656785018,-0.4736736092984604,349237,-0.29002422161773944,,S
50,50,50,51,0,3,"Panula, Master. Juha Niilo",0,-1.7184841108942424,3.1548090514635256,0.7676298785983874,3101295,0.1506737441786005,,S
51,51,51,52,0,3,"Nosworthy, Mr. Richard Cater",0,-0.6425863043961658,-0.47454519624983954,-0.4736736092984604,A/4. 39886,-0.4913710934835715,,S
52,52,52,53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",1,1.5092093085999871,0.4327933656785018,-0.4736736092984604,PC 17572,0.8964967865378598,D33,C
53,53,53,54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",1,-0.027787557825836348,0.4327933656785018,-0.4736736092984604,2926,-0.12491978668775715,,S
54,54,54,55,0,1,"Ostby, Mr. Engelhart Cornelius",0,2.738806801740646,-0.47454519624983954,0.7676298785983874,113509,0.5995101505357573,B30,C
55,55,55,56,1,1,"Woolner, Mr. Hugh",0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,19947,0.06635974158478332,C52,S
56,56,56,57,1,2,"Rugg, Miss. Emily",1,-0.6425863043961658,-0.47454519624983954,-0.4736736092984604,C.A. 31026,-0.43700743807979686,,S
57,57,57,58,0,3,"Novel, Mr. Mansouer",0,-0.06621247948648194,-0.47454519624983954,-0.4736736092984604,2697,-0.5028639729296732,,C
58,58,58,59,1,2,"West, Miss. Constance Mirium",1,-1.8721837975368247,0.4327933656785018,2.0089333664952354,C.A. 34651,-0.08968408411123653,,S
59,59,59,60,0,3,"Goodwin, Master. William Frederick",0,-1.4110847376090776,4.0621476133918675,2.0089333664952354,CA 2144,0.2958951755118318,,S
60,60,60,61,0,3,"Sirayanian, Mr. Orsen",0,-0.5657364610748746,-0.47454519624983954,-0.4736736092984604,2669,-0.5028639729296732,,C
61,61,61,62,1,1,"Icard, Miss. Amelie",1,0.6638610320657843,-0.47454519624983954,-0.4736736092984604,113572,0.962353321387736,B28,S
62,62,62,63,0,1,"Harris, Mr. Henry Birkhardt",0,1.2018099353148226,0.4327933656785018,-0.4736736092984604,36973,1.0323213593611125,C83,S
63,63,63,64,0,3,"Skoog, Master. Harald",0,-1.949033640858116,2.2474704895351842,2.0089333664952354,347088,-0.08666388103324908,,S
